#source: https://www.meteoblue.com/en/weather/archive/export/basel_switzerland_2661604
#location,Basel,Basel,Basel,Basel
#lat,47.54694,47.54694,47.54694,47.54694
#lon,7.56892,7.56892,7.56892,7.56892
#asl,283.697,283.697,283.697,283.697
#variable,Wind Speed,Wind Direction,Wind Speed,Wind Direction
#unit,km/h,°,km/h,°
#level,900 mb,900 mb,500 mb,500 mb
#resolution,hourly,hourly,hourly,hourly
#aggregation,None,None,None,None
timestamp,Basel Wind Speed [900 mb],Basel Wind Direction [900 mb],Basel Wind Speed [500 mb],Basel Wind Direction [500 mb]
20200901T0000,10.464797,319.18494,12.979984,3.1798248
20200901T0100,9.693296,301.3287,14.05845,357.06433
20200901T0200,8.707238,277.125,18.64369,349.992
20200901T0300,9.826088,278.42697,21.659916,338.55228
20200901T0400,12.682018,276.5198,31.722921,350.85834
20200901T0500,10.464798,266.0548,34.875435,352.28812
20200901T0600,10.144082,297.47443,32.078403,350.9605
20200901T0700,11.304229,307.23483,35.50155,353.59564
20200901T0800,10.30883,294.77515,35.428463,354.75287
20200901T0900,10.44,316.3972,36.367126,358.8656
20200901T1000,11.525623,345.52972,32.407997,358.727
20200901T1100,11.525623,14.470276,29.195534,357.1729
20200901T1200,14.336861,28.495636,27.475807,354.7376
20200901T1300,15.986595,7.765167,24.627787,344.74487
20200901T1400,7.92,360.0,32.399998,323.13013
20200901T1500,9.36,360.0,32.37799,318.15485
20200901T1600,8.825508,11.76828,32.59939,313.21008
20200901T1700,6.9153743,38.659805,33.90313,311.98724
20200901T1800,6.0347,72.64597,35.69632,311.72952
20200901T1900,6.4799995,89.99999,36.67055,313.40887
20200901T2000,6.489992,86.82017,35.384537,314.58783
20200901T2100,6.489992,86.82017,33.88019,317.15295
20200901T2200,6.8399997,89.99999,30.699368,320.71057
20200901T2300,8.647496,92.38594,27.887802,320.76263
20200902T0000,10.805999,91.90914,28.04305,318.12213
20200902T0100,8.311245,94.96974,29.01966,315.0
20200902T0200,6.5693827,80.537674,31.319998,316.3972
20200902T0300,7.9526596,84.805565,33.004364,320.75458
20200902T0400,9.178235,78.69006,31.63087,318.6914
20200902T0500,12.599998,53.130096,30.466295,324.61972
20200902T0600,15.546833,47.81555,29.651413,330.94543
20200902T0700,14.264361,47.045395,26.925497,330.35016
20200902T0800,11.019764,38.367477,22.366402,326.82147
20200902T0900,7.8954163,46.847595,20.288164,332.52557
20200902T1000,5.991594,57.26477,18.782204,347.82855
20200902T1100,6.12,61.927513,17.654688,357.66272
20200902T1200,5.315336,61.699234,17.654688,357.66272
20200902T1300,5.1165614,50.7106,19.562946,347.2425
20200902T1400,8.707238,352.875,20.724247,342.8241
20200902T1500,7.5170207,16.69925,23.087763,349.2157
20200902T1600,5.8603754,47.489548,23.510508,348.518
20200902T1700,4.3498964,65.55604,25.501621,341.0535
20200902T1800,3.671294,78.69006,29.949316,334.359
20200902T1900,3.96,89.99999,37.038036,338.92252
20200902T2000,3.96,89.99999,41.213318,342.19812
20200902T2100,3.96,89.99999,49.43417,347.38068
20200902T2200,3.319036,102.52881,58.00023,350.71307
20200902T2300,2.4149535,116.56505,65.93506,351.20627
20200903T0000,2.8116899,140.19443,70.67012,351.20947
20200903T0100,2.3051248,141.34018,71.386284,349.5401
20200903T0200,2.0991426,120.96376,70.95653,348.29102
20200903T0300,1.9386592,111.80141,70.11225,346.03513
20200903T0400,1.609969,116.56505,67.79575,343.97104
20200903T0500,1.1384199,108.434944,66.213585,344.22577
20200903T0600,1.1384199,108.434944,67.76038,345.22546
20200903T0700,1.5273507,135.0,72.91044,346.5813
20200903T0800,3.0758414,159.44395,71.45524,344.2132
20200903T0900,4.5536795,161.56505,67.637856,348.33124
20200903T1000,4.896529,162.89728,69.42775,347.11676
20200903T1100,3.6,180.0,73.821945,351.8699
20200903T1200,2.6208394,164.0546,70.92822,359.12756
20200903T1300,2.8116899,230.19443,66.45975,355.33948
20200903T1400,4.68,270.0,55.24915,355.5154
20200903T1500,7.208994,272.8624,53.58682,348.76556
20200903T1600,10.538843,277.85333,51.398113,348.69006
20200903T1700,12.261158,273.36646,49.28188,348.19757
20200903T1800,13.684735,268.49255,46.545925,347.0386
20200903T1900,13.138765,260.5377,42.724888,339.27444
20200903T2000,13.75558,263.991,42.353195,332.12805
20200903T2100,15.745627,259.46082,41.718082,331.66577
20200903T2200,15.937878,251.56506,40.377815,328.86102
20200903T2300,12.313893,254.74487,39.31259,322.8153
20200904T0000,9.779817,263.65982,39.202,315.0
20200904T0100,9.3876505,265.6013,38.906654,308.991
20200904T0200,8.311245,265.03027,37.455574,305.2176
20200904T0300,7.208994,267.1376,37.868507,299.0017
20200904T0400,6.12,270.0,38.344646,294.39944
20200904T0500,5.8048253,262.875,39.985935,290.55603
20200904T0600,5.8603754,259.38034,40.870705,287.95618
20200904T0700,5.6920996,251.56506,41.3248,288.2771
20200904T0800,6.6087217,240.64226,42.694542,289.19885
20200904T0900,7.7043357,232.59465,43.153477,289.49307
20200904T1000,7.7043357,232.59465,42.015255,289.52173
